Week,Module Number,Module Title,Assignment Type,Assignment Title,Due Date,Description
20,11,Minimum Spanning trees- reverse delete & Boruvka's algorithm (Lab),Debugging,Kruskal's Fix,2025-08-13,Correct 3 implementation errors in Kruskal's algorithm
21,22,The Strassen algorithm for matrix multiplication (Theory),Quiz,Matrix Algorithms Quiz,2025-08-13,10 MCQs on matrix operation complexities
21,22,The Strassen algorithm for matrix multiplication (Theory),Descriptive,Algorithm Optimization,2025-08-15,400-word analysis of Strassen's optimization approach
22,12,Heaps & Hashing (Lab),Coding,Heap Operations,2025-08-18,Implement max-heap with insert/extract operations
22,12,Heaps & Hashing (Lab),Debugging,Hash Table Fix,2025-08-20,Fix 4 collision handling errors in hash table implementation
23,23,Dynamic programming: Matrix Chain Multiplication (Theory),Quiz,DP Fundamentals Quiz,2025-08-20,12 questions on dynamic programming principles
23,23,Dynamic programming: Matrix Chain Multiplication (Theory),Descriptive,DP Application,2025-08-22,500-word analysis of DP in bioinformatics
24,24,Longest Common Subsequence (Theory),Coding,LCS Implementation,2025-08-25,Implement LCS with memoization
24,24,Longest Common Subsequence (Theory),Debugging,Edit Distance Fix,2025-08-27,Correct 5 errors in edit distance DP implementation
25,25,Backtracking: N-Queens problem (Theory),Quiz,Backtracking Quiz,2025-08-27,15 MCQs on backtracking and pruning
25,25,Backtracking: N-Queens problem (Theory),Descriptive,Constraint Satisfaction,2025-08-29,400-word analysis of backtracking in CSPs
26,26,Subset Sum (Theory),Coding,Subset Sum Solver,2025-09-01,Implement backtracking solution for subset sum
26,26,Subset Sum (Theory),Debugging,Knapsack Fix,2025-09-03,Fix 3 implementation errors in 0/1 knapsack solution
